location,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,new_tests,total_tests,new_tests_per_thousand,new_tests_smoothed,tests_per_case
Italy,18/08/2020,254636,401,35405,5,58,901,53976,7642059,0.893,46449,95.7
Italy,19/08/2020,255278,642,35412,7,66,932,71095,7713154,1.176,49083,96.4
Italy,20/08/2020,256118,840,35418,6,68,951,77442,7790596,1.281,52833,95.2
Italy,21/08/2020,257065,947,35427,9,69,988,71996,7862592,1.191,56444,92.8
Italy,22/08/2020,258136,1071,35430,3,64,988,77674,7940266,1.285,59951,89.3
Italy,23/08/2020,259345,1209,35437,7,69,1040,67371,8007637,1.114,64317,82.9
Italy,24/08/2020,260298,953,35441,4,65,1110,45914,8053551,0.759,66495,76.8
Italy,25/08/2020,261174,876,35445,4,66,1124,72341,8125892,1.196,69119,74
Italy,26/08/2020,262540,1366,35458,13,69,1124,93529,8219421,1.547,72324,69.7
Italy,27/08/2020,263949,1409,35463,5,67,1198,94024,8313445,1.555,74693,66.8
Italy,28/08/2020,265409,1460,35472,9,74,1252,97065,8410510,1.605,78274,65.7
Italy,29/08/2020,266853,1444,35473,1,79,1247,99108,8509618,1.639,81336,65.3
Italy,30/08/2020,268218,1365,35477,4,86,1337,76723,8586341,1.269,82672,65.2
Italy,31/08/2020,269214,996,35483,6,94,1382,58518,8644859,0.968,84473,66.3
Italy,01/09/2020,270189,975,35491,8,107,1487,81050,8725909,1.341,85717,66.6
Italy,02/09/2020,271515,1326,35497,6,109,1546,102959,8828868,1.703,87064,67.9
Italy,03/09/2020,272912,1397,35507,10,120,1625,92790,8921658,1.535,86888,67.9
Italy,04/09/2020,274644,1732,35518,11,121,1728,113085,9034743,1.87,89176,67.6
Italy,05/09/2020,276338,1694,35534,16,121,1741,107658,9142401,1.781,90398,66.7
Italy,06/09/2020,277634,1296,35541,7,133,1816,76856,9219257,1.271,90417,67.2
Italy,07/09/2020,278784,1150,35553,12,142,1861,52553,9271810,0.869,89564,65.5
Italy,08/09/2020,280153,1369,35563,10,143,1903,92403,9364213,1.528,91186,64.1
Italy,09/09/2020,281583,1430,35577,14,150,1928,95990,9460203,1.588,90191,62.7
Italy,10/09/2020,283180,1597,35587,10,164,2000,94186,9554389,1.558,90390,61.6
Italy,11/09/2020,284796,1616,35597,10,175,2024,98880,9653269,1.635,88361,60.9
Italy,12/09/2020,286297,1501,35603,6,182,2133,92706,9745975,1.533,86225,60.6
Italy,13/09/2020,287753,1456,35610,7,187,2229,72143,9818118,1.193,85552,59.2
Italy,14/09/2020,288761,1008,35624,14,197,2319,45309,9863427,0.749,84517,59.3
Italy,15/09/2020,289990,1229,35633,9,201,2423,80517,9943944,1.332,82819,58.9
Italy,16/09/2020,291442,1452,35645,12,207,2492,100607,10044551,1.664,83478,59.3
Italy,17/09/2020,293025,1583,35658,13,212,2560,101773,10146324,1.683,84562,60.1
Italy,18/09/2020,294932,1907,35668,10,208,2595,99839,10246163,1.651,84699,58.5
Italy,19/09/2020,296569,1637,35692,24,215,2595,103223,10349386,1.707,86202,58.7
Italy,20/09/2020,298156,1587,35707,15,222,2587,83428,10432814,1.38,87814,59.1
