location,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,new_tests,total_tests,tests_per_case
United Kingdom,31/01/2020,2,2,0,0,0,0,0,0,0
United Kingdom,01/02/2020,2,0,0,0,0,0,0,0,0
United Kingdom,02/02/2020,2,0,0,0,0,0,0,0,0
United Kingdom,03/02/2020,8,6,0,0,0,0,0,0,0
United Kingdom,04/02/2020,8,0,0,0,0,0,0,0,0
United Kingdom,05/02/2020,9,1,0,0,0,0,0,0,0
United Kingdom,06/02/2020,9,0,0,0,0,0,0,0,0
United Kingdom,07/02/2020,9,0,0,0,0,0,0,0,0
United Kingdom,08/02/2020,13,4,0,0,0,0,0,0,0
United Kingdom,09/02/2020,14,1,0,0,0,0,0,0,0
United Kingdom,10/02/2020,14,0,0,0,0,0,0,0,0
United Kingdom,11/02/2020,15,1,0,0,0,0,0,0,0
United Kingdom,12/02/2020,16,1,0,0,0,0,0,0,0
United Kingdom,13/02/2020,17,1,0,0,0,0,0,0,0
United Kingdom,14/02/2020,18,1,0,0,0,0,0,0,0
United Kingdom,15/02/2020,18,0,0,0,0,0,0,0,0
United Kingdom,16/02/2020,18,0,0,0,0,0,0,0,0
United Kingdom,17/02/2020,19,1,0,0,0,0,0,0,0
United Kingdom,18/02/2020,19,0,0,0,0,0,0,0,0
United Kingdom,19/02/2020,20,1,0,0,0,0,0,0,0
United Kingdom,20/02/2020,22,2,0,0,0,0,0,0,0
United Kingdom,21/02/2020,23,1,0,0,0,0,0,0,0
United Kingdom,22/02/2020,23,0,0,0,0,0,0,0,0
United Kingdom,23/02/2020,28,5,0,0,0,0,0,0,0
United Kingdom,24/02/2020,30,2,0,0,0,0,0,0,0
United Kingdom,25/02/2020,34,4,0,0,0,0,0,0,0
United Kingdom,26/02/2020,37,3,0,0,0,0,0,0,0
United Kingdom,27/02/2020,44,7,0,0,0,0,0,0,0
United Kingdom,28/02/2020,56,12,0,0,0,0,0,0,0
United Kingdom,29/02/2020,61,5,0,0,0,0,0,0,0
United Kingdom,01/03/2020,94,33,0,0,0,0,0,0,0
United Kingdom,02/03/2020,134,40,0,0,0,0,0,0,0
United Kingdom,03/03/2020,189,55,0,0,0,0,0,0,0
United Kingdom,04/03/2020,246,57,0,0,0,0,0,0,0
United Kingdom,05/03/2020,295,49,0,0,0,0,0,0,0
United Kingdom,06/03/2020,374,79,1,1,0,0,0,0,0
United Kingdom,07/03/2020,429,55,2,1,0,0,0,0,0
United Kingdom,08/03/2020,483,54,2,0,0,0,0,0,0
United Kingdom,09/03/2020,630,147,3,1,0,0,0,0,0
United Kingdom,10/03/2020,889,259,7,4,0,0,0,0,0
United Kingdom,11/03/2020,1301,412,7,0,0,0,0,0,0
United Kingdom,12/03/2020,1790,489,9,2,0,0,0,0,0
United Kingdom,13/03/2020,2270,480,10,1,0,0,0,0,0
United Kingdom,14/03/2020,2634,364,29,19,0,0,0,0,0
United Kingdom,15/03/2020,3077,443,43,14,0,0,0,0,0
United Kingdom,16/03/2020,3692,615,66,23,0,0,0,0,0
United Kingdom,17/03/2020,4462,770,83,17,0,0,0,0,0
United Kingdom,18/03/2020,5467,1005,117,34,0,0,0,0,0
United Kingdom,19/03/2020,6533,1066,163,46,0,0,0,0,0
United Kingdom,20/03/2020,7791,1258,195,32,0,0,0,0,0
United Kingdom,21/03/2020,9006,1215,253,58,0,0,0,0,0
United Kingdom,22/03/2020,10395,1389,289,36,0,0,0,0,0
United Kingdom,23/03/2020,12744,2349,365,76,0,0,0,0,0
United Kingdom,24/03/2020,15126,2382,513,148,0,0,0,0,0
United Kingdom,25/03/2020,17843,2717,704,191,0,0,0,0,0
United Kingdom,26/03/2020,20970,3127,886,182,0,0,0,0,0
United Kingdom,27/03/2020,24219,3249,1174,288,0,7264,0,0,0
United Kingdom,28/03/2020,27062,2843,1466,292,0,8275,0,0,0
United Kingdom,29/03/2020,29954,2892,1679,213,0,9522,0,0,0
United Kingdom,30/03/2020,34281,4327,2053,374,0,11090,0,0,0
United Kingdom,31/03/2020,38815,4534,2457,404,0,12595,11896,155174,0
United Kingdom,01/04/2020,43789,4974,3130,673,0,13635,11924,167098,0
United Kingdom,02/04/2020,48718,4929,3787,657,1813,13873,13457,182047,0
United Kingdom,03/04/2020,53699,4981,4524,737,2120,15545,14293,222937,0
United Kingdom,04/04/2020,57772,4073,5281,757,2309,17500,15899,238836,0
United Kingdom,05/04/2020,61422,3650,5882,601,2469,18852,12733,251569,0
United Kingdom,06/04/2020,66738,5316,6452,570,2644,19490,13684,265885,0
United Kingdom,07/04/2020,72224,5486,7557,1105,2864,20231,14419,280304,3.7
United Kingdom,08/04/2020,77387,5163,8589,1032,2967,20737,16443,296747,3.9
United Kingdom,09/04/2020,82293,4906,9706,1117,2963,21002,18843,315141,4
United Kingdom,10/04/2020,86660,4367,10829,1123,3228,21277,17737,332925,3.3
United Kingdom,11/04/2020,90273,3613,11673,844,3274,21251,17650,350575,3.4
United Kingdom,12/04/2020,93812,3539,12330,657,3301,21684,14506,365081,3.5
United Kingdom,13/04/2020,98017,4205,13055,725,3277,21304,14567,379649,3.6
United Kingdom,14/04/2020,102365,4348,14135,1080,3234,21277,15991,395912,3.8
United Kingdom,15/04/2020,107465,5100,15019,884,3228,20578,18489,414469,3.9
United Kingdom,16/04/2020,112808,5343,16059,1040,3222,20385,20906,435389,3.9
United Kingdom,17/04/2020,117798,4990,16973,914,3162,19326,21081,456527,4
United Kingdom,18/04/2020,122534,4736,18081,1108,3247,19453,21249,477776,3.9
United Kingdom,19/04/2020,126394,3860,18514,433,3176,19570,19316,497092,4.1
United Kingdom,20/04/2020,131260,4866,19090,576,3130,19327,17365,532229,4.6
United Kingdom,21/04/2020,136035,4775,20314,1224,3036,19136,22763,554992,4.7
United Kingdom,22/04/2020,141540,5505,21171,857,2964,18530,23073,578066,4.8
United Kingdom,23/04/2020,146708,5168,21855,684,2867,17864,28024,606093,5
United Kingdom,24/04/2020,151689,4981,22873,1018,2703,17060,28225,634319,5.2
United Kingdom,25/04/2020,155453,3764,23689,816,2702,16601,29058,663377,5.6
United Kingdom,26/04/2020,158926,3473,24053,364,2580,16552,31610,694987,6.1
United Kingdom,27/04/2020,163630,4704,24376,323,2460,16658,31453,726553,6
United Kingdom,28/04/2020,168357,4727,25347,971,2353,15873,45263,771817,6.7
United Kingdom,29/04/2020,173807,5450,26118,771,2286,15517,65643,839597,8.1
United Kingdom,30/04/2020,178771,4964,26754,636,2224,15160,83143,922684,9.9
United Kingdom,01/05/2020,183501,4730,27454,700,2178,14719,74142,996826,11.4
United Kingdom,02/05/2020,186731,3230,28039,585,2068,14376,63559,1060387,12.7
United Kingdom,03/05/2020,189708,2977,28292,253,2009,14184,68203,1128590,14.1
United Kingdom,04/05/2020,193091,3383,28565,273,1936,14092,72630,1208190,16.3
United Kingdom,05/05/2020,196780,3689,29290,725,1874,13718,66919,1270344,17.5
United Kingdom,06/05/2020,200616,3836,29937,647,1802,13143,74455,1347190,18.9
United Kingdom,07/05/2020,204387,3771,30395,458,1685,12622,77466,1424655,19.6
United Kingdom,08/05/2020,207439,3052,30975,580,1642,12049,76963,1501622,21.1
United Kingdom,09/05/2020,209589,2150,31250,275,1585,12017,77152,1578774,22.7
United Kingdom,10/05/2020,211911,2322,31467,217,1538,11723,76507,1655281,23.7
United Kingdom,11/05/2020,215500,3589,31655,188,1485,11963,70332,1725696,23.1
United Kingdom,12/05/2020,218895,3395,32270,615,1414,11587,74593,1800289,24
United Kingdom,13/05/2020,222195,3300,32718,448,1342,11338,83182,1884165,24.9
United Kingdom,14/05/2020,224813,2618,33071,353,1314,10916,84693,1968871,26.6
United Kingdom,15/05/2020,227334,2521,33422,351,1337,10686,91342,2060212,28.1
United Kingdom,16/05/2020,229406,2072,33833,411,1234,10233,91360,2151572,28.9
United Kingdom,17/05/2020,231232,1826,33900,67,1196,10194,81278,2232850,29.9
United Kingdom,18/05/2020,233809,2577,34046,146,1141,10227,70074,2302976,31.5
United Kingdom,19/05/2020,236867,3058,34547,501,1106,10009,86041,2380736,32.3
United Kingdom,20/05/2020,239579,2712,34876,329,1034,9559,86634,2467369,33.5
United Kingdom,21/05/2020,242133,2554,35149,273,1008,9289,105655,2573033,34.9
United Kingdom,22/05/2020,244174,2041,35440,291,964,9181,91196,2664230,35.9
United Kingdom,23/05/2020,245682,1508,35660,220,928,8811,91841,2756068,37.1
United Kingdom,24/05/2020,247037,1355,36039,379,886,8811,59464,2815535,36.9
United Kingdom,25/05/2020,248650,1613,36143,104,863,8833,78385,2963880,44.5
United Kingdom,26/05/2020,250309,1659,36274,131,847,8728,77745,3041801,49.2
United Kingdom,27/05/2020,252118,1809,36696,422,783,8215,82670,3124473,52.4
United Kingdom,28/05/2020,253854,1736,37039,343,751,7903,101753,3226227,55.7
United Kingdom,29/05/2020,255362,1508,37313,274,719,7583,105459,3331686,59.7
United Kingdom,30/05/2020,256469,1107,37467,154,704,7264,96995,3428684,62.4
United Kingdom,31/05/2020,257539,1070,37527,60,679,7234,82243,3510927,66.2
United Kingdom,01/06/2020,258983,1444,37613,86,652,7243,70648,3581534,59.8
United Kingdom,02/06/2020,260453,1470,37863,250,636,7081,92299,3674232,62.3
United Kingdom,03/06/2020,261802,1349,38117,254,602,6809,101885,3776246,67.3
United Kingdom,04/06/2020,263040,1238,38247,130,571,6570,99484,3875730,70.7
United Kingdom,05/06/2020,264150,1110,38505,258,554,6370,101961,3978661,73.6
United Kingdom,06/06/2020,264944,794,38648,143,540,6140,93154,4072267,75.9
United Kingdom,07/06/2020,265662,718,38702,54,515,5935,86926,4159303,79.8
United Kingdom,08/06/2020,266756,1094,38749,47,509,5923,69999,4264755,87.9
United Kingdom,09/06/2020,267915,1159,38946,197,491,5728,93959,4359163,91.8
United Kingdom,10/06/2020,269101,1186,39110,164,439,5468,101033,4460271,93.7
United Kingdom,11/06/2020,270108,1007,39186,76,390,5177,101778,4563309,97.3
United Kingdom,12/06/2020,271162,1054,39317,131,393,5087,98375,4663013,97.6
United Kingdom,13/06/2020,272050,888,39424,107,390,4939,98974,4762842,97.2
United Kingdom,14/06/2020,272857,807,39451,27,393,4906,69529,4833223,93.7
United Kingdom,15/06/2020,273888,1031,39480,29,385,4868,71402,4904625,89.7
United Kingdom,16/06/2020,274971,1083,39600,120,378,4861,80862,4985487,88.8
United Kingdom,17/06/2020,275970,999,39710,110,357,4717,86438,5071925,89
United Kingdom,18/06/2020,276990,1020,39777,67,352,4558,89613,5165408,87.5
United Kingdom,19/06/2020,277974,984,39861,84,330,4412,90547,5255955,87
United Kingdom,20/06/2020,278640,666,39932,71,346,4250,83467,5339704,87.5
United Kingdom,21/06/2020,279264,624,39963,31,310,4220,60484,5400371,88.5
United Kingdom,22/06/2020,280156,892,39976,13,340,4279,63026,5466497,89.6
United Kingdom,23/06/2020,281038,882,40070,94,311,4132,73646,5540143,91.4
United Kingdom,24/06/2020,281815,777,40157,87,316,4028,91135,5631278,95.7
United Kingdom,25/06/2020,282512,697,40256,99,276,3848,108124,5782973,111.8
United Kingdom,26/06/2020,283151,639,40333,77,268,3618,105971,5888944,122.3
United Kingdom,27/06/2020,283785,634,40373,40,270,3542,100631,5989575,126.3
United Kingdom,28/06/2020,284192,407,40404,31,270,3555,83157,6073492,136.6
United Kingdom,29/06/2020,284812,620,40425,21,262,3746,75662,6151618,147.1
United Kingdom,30/06/2020,285216,404,40479,54,279,3381,112164,6272682,175.3
United Kingdom,01/07/2020,285279,63,40576,97,259,3196,123348,6396219,220.8
United Kingdom,02/07/2020,285285,6,40617,41,239,3077,136186,6532368,270.2
United Kingdom,03/07/2020,285787,502,40666,49,231,2940,139218,6671841,297
United Kingdom,04/07/2020,286412,625,40698,32,220,2799,114274,6786243,303.3
United Kingdom,05/07/2020,286931,519,40717,19,217,2739,92774,6879738,294.4
United Kingdom,06/07/2020,287290,359,40728,11,209,2697,77469,6957311,325.1
United Kingdom,07/07/2020,287874,584,40782,54,197,2596,106977,7064288,297.8
United Kingdom,08/07/2020,288511,637,40839,57,185,2452,127389,7191497,246.1
United Kingdom,09/07/2020,289154,643,40870,31,188,2341,137861,7329538,206
United Kingdom,10/07/2020,289678,524,40904,34,191,2240,134030,7463671,203.5
United Kingdom,11/07/2020,290504,826,40921,17,168,2114,126549,7590220,196.5
United Kingdom,12/07/2020,291154,650,40930,9,159,2096,94700,7685301,190.8
United Kingdom,13/07/2020,291691,537,40940,10,162,2108,85880,7770238,184.7
United Kingdom,14/07/2020,292931,1240,40984,44,145,1989,118186,7888890,163.1
United Kingdom,15/07/2020,293469,538,41010,26,153,1970,137828,8030203,169.2
United Kingdom,16/07/2020,294116,647,41034,24,142,1825,150975,8181475,171.7
United Kingdom,17/07/2020,294803,687,41060,26,143,1800,164440,8346355,172.2
United Kingdom,18/07/2020,295632,829,41069,9,137,1772,135779,8482133,173.9
United Kingdom,19/07/2020,296358,726,41080,11,131,1738,114222,8596355,175.1
United Kingdom,20/07/2020,296944,586,41090,10,129,1730,92518,8689851,175.1
United Kingdom,21/07/2020,297389,445,41115,25,137,1630,132626,8822476,209.4
United Kingdom,22/07/2020,297952,563,41132,17,110,1743,137234,8959710,207.3
United Kingdom,23/07/2020,298731,779,41141,9,111,1534,141117,9100816,199.2
United Kingdom,24/07/2020,299500,769,41173,32,104,1449,147292,9248643,192.1
United Kingdom,25/07/2020,300270,770,41188,15,93,1396,139062,9387703,195.3
United Kingdom,26/07/2020,301020,750,41196,8,92,1378,111801,9505596,195
United Kingdom,27/07/2020,301708,688,41199,3,97,1365,89565,9595161,190
United Kingdom,28/07/2020,302261,553,41220,21,93,1364,147818,9742978,188.9
United Kingdom,29/07/2020,303063,802,41254,34,87,1345,157439,9900604,184.1
United Kingdom,30/07/2020,303910,847,41254,0,84,1309,170027,10070992,187.3
United Kingdom,31/07/2020,304793,883,41274,20,86,1260,164748,10235737,186.5
United Kingdom,01/08/2020,305562,769,41287,13,92,1284,146011,10381748,187.8
United Kingdom,02/08/2020,306309,747,41292,5,85,1248,145568,10528542,193.4
United Kingdom,03/08/2020,307251,942,41293,1,77,1245,144999,10673541,194.5
