location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,new_tests,total_tests,tests_per_case
United Kingdom,17/03/2020,4462,770,510.429,83,17,10.857,65.728,11.343,7.519,1.223,0.25,0.16,0,0,0,0,0,0
United Kingdom,18/03/2020,5467,1005,595.143,117,34,15.714,80.532,14.804,8.767,1.723,0.501,0.231,0,0,0,0,0,0
United Kingdom,19/03/2020,6533,1066,677.571,163,46,22,96.235,15.703,9.981,2.401,0.678,0.324,0,0,0,0,0,0
United Kingdom,20/03/2020,7791,1258,788.714,195,32,26.429,114.766,18.531,11.618,2.872,0.471,0.389,0,0,0,0,0,0
United Kingdom,21/03/2020,9006,1215,910.286,253,58,32,132.664,17.898,13.409,3.727,0.854,0.471,0,0,0,0,0,0
United Kingdom,22/03/2020,10395,1389,1045.429,289,36,35.143,153.124,20.461,15.4,4.257,0.53,0.518,0,0,0,0,0,0
United Kingdom,23/03/2020,12744,2349,1293.143,365,76,42.714,187.726,34.602,19.049,5.377,1.12,0.629,0,0,0,0,0,0
United Kingdom,24/03/2020,15126,2382,1523.429,513,148,61.429,222.815,35.088,22.441,7.557,2.18,0.905,0,0,0,0,0,0
United Kingdom,25/03/2020,17843,2717,1768,704,191,83.857,262.838,40.023,26.044,10.37,2.814,1.235,0,0,0,0,0,0
United Kingdom,26/03/2020,20970,3127,2062.429,886,182,103.286,308.9,46.063,30.381,13.051,2.681,1.521,0,0,0,0,0,0
United Kingdom,27/03/2020,24219,3249,2346.857,1174,288,139.857,356.76,47.86,34.571,17.294,4.242,2.06,0,0,7264,0,0,0
United Kingdom,28/03/2020,27062,2843,2579.429,1466,292,173.286,398.639,41.879,37.996,21.595,4.301,2.553,0,0,8275,0,0,0
United Kingdom,29/03/2020,29954,2892,2794.143,1679,213,198.571,441.24,42.601,41.159,24.733,3.138,2.925,0,0,9522,0,0,0
United Kingdom,30/03/2020,34281,4327,3076.714,2053,374,241.143,504.979,63.739,45.322,30.242,5.509,3.552,0,0,11090,0,0,0
United Kingdom,31/03/2020,38815,4534,3384.143,2457,404,277.714,571.767,66.788,49.85,36.193,5.951,4.091,0,0,12595,11896,155174,0
United Kingdom,01/04/2020,43789,4974,3706.571,3130,673,346.571,645.037,73.27,54.6,46.107,9.914,5.105,0,0,13635,11924,167098,0
United Kingdom,02/04/2020,48718,4929,3964,3787,657,414.429,717.644,72.607,58.392,55.785,9.678,6.105,1813,26.707,13873,13457,182047,0
United Kingdom,03/04/2020,53699,4981,4211.429,4524,737,478.571,791.017,73.373,62.037,66.641,10.856,7.05,2120,31.229,15545,14293,222937,0
United Kingdom,04/04/2020,57772,4073,4387.143,5281,757,545,851.015,59.998,64.625,77.792,11.151,8.028,2309,34.013,17500,15899,238836,0
United Kingdom,05/04/2020,61422,3650,4495.429,5882,601,600.429,904.781,53.767,66.22,86.645,8.853,8.845,2469,36.37,18852,12733,251569,0
United Kingdom,06/04/2020,66738,5316,4636.714,6452,570,628.429,983.089,78.308,68.301,95.042,8.396,9.257,2644,38.948,19490,13684,265885,0
United Kingdom,07/04/2020,72224,5486,4772.714,7557,1105,728.571,1063.901,80.812,70.305,111.319,16.277,10.732,2864,42.188,20231,14419,280304,3.7
