iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,new_tests,total_tests,tests_per_case
ALB,Europe,Albania,04/01/2021,59623,185,1199,6,,,1281,253999,4.7
AND,Europe,Andorra,04/01/2021,8249,57,84,0,,,,127577,
AUT,Europe,Austria,04/01/2021,367410,1642,6357,33,368,1953,12601,3793090,
BLR,Europe,Belarus,04/01/2021,201831,1869,1461,10,,,,,8.9
BEL,Europe,Belgium,04/01/2021,650887,876,19750,49,464,2226,40229,7052943,14.9
BIH,Europe,Bosnia and Herzegovina,04/01/2021,112645,0,4131,0,,,,,6.1
BGR,Europe,Bulgaria,04/01/2021,204080,1029,7835,157,453,4689,2650,1162942,5.4
HRV,Europe,Croatia,04/01/2021,213319,361,4126,54,,2453,2985,1035076,4.7
CYP,Europe,Cyprus,04/01/2021,24639,665,133,2,30,180,13495,1078441,21
CZE,Europe,Czechia,04/01/2021,746714,6233,12070,110,990,7175,89558,,4.6
DNK,Europe,Denmark,04/01/2021,171436,2078,1389,15,140,964,105840,10781116,35.9
EST,Europe,Estonia,04/01/2021,29521,390,251,7,46,401,3772,649650,7.7
FIN,Europe,Finland,04/01/2021,36919,147,565,4,31,210,10677,2534953,40.2
FRA,Europe,France,04/01/2021,2717059,4084,65549,385,2657,24962,431757,,17.5
DEU,Europe,Germany,04/01/2021,1796216,12320,35748,957,5723,,,,
GRC,Europe,Greece,04/01/2021,140526,427,5011,54,,,8282,3432711,32.4
HUN,Europe,Hungary,04/01/2021,328851,856,9977,93,,5667,8727,2270539,7
ISL,Europe,Iceland,04/01/2021,5795,41,29,0,,,1114,244164,77.1
IRL,Europe,Ireland,04/01/2021,107997,6110,2265,6,73,744,20571,2472359,7.3
ITA,Europe,Italy,04/01/2021,2166244,10798,75680,348,2579,25896,77993,27004272,8.1
OWID_KOS,Europe,Kosovo,04/01/2021,51965,0,1344,0,,,,,
LVA,Europe,Latvia,04/01/2021,43118,621,692,12,,1213,5550,894919,8.5
LIE,Europe,Liechtenstein,04/01/2021,2224,2,41,2,,,,,
LTU,Europe,Lithuania,04/01/2021,149579,1377,1975,37,,2568,12462,1671698,4.4
LUX,Europe,Luxembourg,04/01/2021,46986,571,508,13,32,123,9317,1665864,31.8
MLT,Europe,Malta,04/01/2021,13230,148,222,2,,,2600,526766,22.4
MDA,Europe,Moldova,04/01/2021,146309,436,3054,17,,,,,
MCO,Europe,Monaco,04/01/2021,917,10,3,0,,,,,
MNE,Europe,Montenegro,04/01/2021,49630,435,692,3,,,,,
NLD,Europe,Netherlands,04/01/2021,839316,6614,11770,63,715,2130,,,
MKD,Europe,North Macedonia,04/01/2021,84129,105,2550,20,,,2431,407198,4.6
NOR,Europe,Norway,04/01/2021,51245,529,449,13,,129,37943,2896999,33.7
POL,Europe,Poland,04/01/2021,1322947,4385,29161,42,,17130,25436,7070884,3.8
PRT,Europe,Portugal,04/01/2021,431623,4369,7196,78,510,3171,45045,5794347,6.8
ROU,Europe,Romania,04/01/2021,643559,3130,16057,78,1100,,9688,4837361,4.1
RUS,Europe,Russia,04/01/2021,3226758,23015,58203,473,,,217791,92069794,12.6
SMR,Europe,San Marino,04/01/2021,2493,65,62,3,,,,,
SRB,Europe,Serbia,04/01/2021,346585,2715,3364,39,,,11202,2331636,4.3
SVK,Europe,Slovakia,04/01/2021,188099,636,2521,204,,2864,83131,3346434,8
SVN,Europe,Slovenia,04/01/2021,125858,772,2838,35,194,1209,27293,782915,6.7
ESP,Europe,Spain,04/01/2021,1958844,30579,51078,241,2192,13458,,,10.3
SWE,Europe,Sweden,04/01/2021,437379,0,8727,0,358,2994,30475,,5
CHE,Europe,Switzerland,04/01/2021,461961,9665,7918,171,,,20664,3374497,5.7
UKR,Europe,Ukraine,04/01/2021,1111631,4494,19712,82,,,,,2.8
GBR,Europe,United Kingdom,04/01/2021,2721622,58923,75547,410,2560,30759,464611,54302701,7.8
VAT,Europe,Vatican,04/01/2021,27,0,,,,,,,
,,,,24547995,203764,559294,4328,21215,155268,1837171,245867845,486.8
