location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,icu_patients,hosp_patients,new_tests,total_tests,tests_per_case
Belgium,03/07/2020,61727,129,88.714,9765,4,32,168,12376,1315418,111.1
Belgium,04/07/2020,61838,111,89.857,9771,6,29,170,10003,1325421,111.1
Belgium,05/07/2020,62016,178,103,9771,0,30,170,5800,1331221,111.1
Belgium,06/07/2020,62058,42,99.571,9774,3,27,169,10721,1341942,111.1
Belgium,07/07/2020,62058,0,90.143,9774,0,32,178,13924,1355866,111.1
Belgium,08/07/2020,62123,65,87.714,9776,2,32,165,13859,1369725,100
Belgium,09/07/2020,62210,87,87.429,9778,2,36,160,12535,1382260,100
Belgium,10/07/2020,62357,147,90,9781,3,32,143,12022,1394282,100
Belgium,11/07/2020,62469,112,90.143,9782,1,28,132,9290,1403572,100
Belgium,12/07/2020,62707,238,98.714,9782,0,27,130,5622,1409194,90.9
Belgium,13/07/2020,62707,0,92.714,9782,0,23,138,10241,1419435,90.9
Belgium,14/07/2020,62781,74,103.286,9787,5,27,147,15070,1434505,83.3
Belgium,15/07/2020,62872,91,107,9788,1,27,150,16354,1450859,76.9
Belgium,16/07/2020,63238,366,146.857,9795,7,28,147,14479,1465338,66.7
Belgium,17/07/2020,63499,261,163.143,9800,5,28,145,13993,1479331,62.5
Belgium,18/07/2020,63706,207,176.714,9800,0,30,161,10449,1489780,58.8
Belgium,19/07/2020,63706,0,142.714,9800,0,31,168,6279,1496059,55.6
Belgium,20/07/2020,64094,388,198.143,9805,5,36,181,11901,1507960,52.6
Belgium,21/07/2020,64258,164,211,9805,0,33,172,11987,1519947,45.5
Belgium,22/07/2020,64627,369,250.714,9808,3,41,191,13283,1533230,45.5
Belgium,23/07/2020,64847,220,229.857,9812,4,40,203,18285,1551515,45.5
Belgium,24/07/2020,65199,352,242.857,9817,5,41,218,18678,1570193,40
Belgium,25/07/2020,65727,528,288.714,9821,4,44,210,14507,1584700,41.7
Belgium,26/07/2020,66026,299,331.429,9821,0,47,211,10981,1595681,38.5
Belgium,27/07/2020,66428,402,333.429,9822,1,52,222,14560,1610241,38.5
Belgium,28/07/2020,66662,234,343.429,9833,11,49,232,25521,1635762,38.5
Belgium,29/07/2020,67335,673,386.857,9836,3,47,263,25480,1661242,37
Belgium,30/07/2020,68006,671,451.286,9840,4,42,267,26134,1687376,34.5
Belgium,31/07/2020,68751,745,507.429,9841,1,48,253,21530,1708906,34.5
Belgium,01/08/2020,69402,651,525,9845,4,56,259,20418,1729324,34.5
Belgium,02/08/2020,69849,447,546.143,9845,0,58,271,11695,1741019,33.3
Belgium,03/08/2020,70314,465,555.143,9850,5,54,290,16827,1757846,33.3
Belgium,04/08/2020,70648,334,569.429,9852,2,63,265,25451,1783297,33.3
Belgium,05/08/2020,71158,510,546.143,9859,7,61,293,26379,1809676,32.3
Belgium,06/08/2020,72016,858,572.857,9861,2,65,278,23195,1832871,31.2
Belgium,07/08/2020,72784,768,576.143,9866,5,69,285,22826,1855697,30.3
Belgium,08/08/2020,73401,617,571.286,9870,4,67,281,16668,1872365,28.6
Belgium,09/08/2020,74152,751,614.714,9872,2,69,285,9956,1882321,27.8
Belgium,10/08/2020,74620,468,615.143,9879,7,73,312,17036,1899357,27.8
Belgium,11/08/2020,75008,388,622.857,9885,6,77,307,25658,1925015,27
Belgium,12/08/2020,75647,639,641.286,9900,15,76,301,22073,1947088,27
Belgium,13/08/2020,76191,544,596.429,9916,16,74,309,21859,1968947,27
Belgium,14/08/2020,77113,922,618.429,9924,8,80,312,18676,1987623,27
Belgium,15/08/2020,77869,756,638.286,9935,11,82,309,12981,2000604,28.6
Belgium,16/08/2020,78323,454,595.857,9939,4,86,337,8932,2009536,29.4
Belgium,17/08/2020,78534,211,559.143,9944,5,91,341,17998,2027534,29.4
Belgium,18/08/2020,78897,363,555.571,9959,15,89,335,27111,2054645,31.2
Belgium,19/08/2020,79479,582,547.429,9969,10,83,334,23088,2077733,33.3
Belgium,20/08/2020,80178,699,569.571,9976,7,82,303,23852,2101585,32.3
Belgium,21/08/2020,80894,716,540.143,9985,9,84,314,20813,2122398,32.3
Belgium,22/08/2020,81468,574,514.143,9988,3,85,310,15631,2138029,32.3
Belgium,23/08/2020,81936,468,516.143,9992,4,87,312,8529,2146558,32.3
Belgium,24/08/2020,82092,156,508.286,9996,4,89,320,17609,2164167,33.3
Belgium,25/08/2020,82447,355,507.143,9996,0,85,282,27040,2191207,33.3
Belgium,26/08/2020,83030,583,507.286,9879,-117,81,260,24596,2215803,34.5
Belgium,27/08/2020,83500,470,474.571,9884,5,82,257,21308,2237111,37
Belgium,28/08/2020,83952,452,436.857,9886,2,77,252,25114,2262225,38.5
Belgium,29/08/2020,84599,647,447.286,9891,5,72,230,19052,2281277,38.5
Belgium,30/08/2020,85042,443,443.714,9894,3,71,233,10600,2291877,38.5
Belgium,31/08/2020,85236,194,449.143,9895,1,74,243,19657,2311534,38.5
Belgium,01/09/2020,85487,251,434.286,9897,2,68,226,28223,2339757,41.7
Belgium,02/09/2020,85911,424,411.571,9898,1,60,221,30069,2369826,41.7
Belgium,03/09/2020,86544,633,434.857,9899,1,58,209,24017,2393843,40
Belgium,04/09/2020,87174,630,460.286,9901,2,52,215,26583,2420426,38.5
Belgium,05/09/2020,87825,651,460.857,9906,5,53,215,19740,2440166,38.5
Belgium,06/09/2020,88367,542,475,9907,1,53,223,10963,2451129,37
Belgium,07/09/2020,88769,402,504.714,9909,2,52,235,23129,2474258,35.7
Belgium,08/09/2020,89141,372,522,9912,3,59,260,35123,2509381,35.7
Belgium,09/09/2020,89691,550,540,9917,5,60,250,35047,2544428,35.7
Belgium,10/09/2020,90568,877,574.857,9917,0,65,249,36232,2580660,34.5
Belgium,11/09/2020,91537,969,623.286,9919,2,67,254,38042,2618702,33.3
Belgium,12/09/2020,92478,941,664.714,9923,4,68,260,27126,2645828,33.3
Belgium,13/09/2020,93455,977,726.857,9925,2,71,293,19155,2664983,32.3
Belgium,14/09/2020,94306,851,791,9927,2,72,318,29307,2694290,31.2
Belgium,15/09/2020,94795,489,807.714,9930,3,67,315,42303,2736593,29.4
Belgium,16/09/2020,95948,1153,893.857,9935,5,74,353,46674,2783267,27.8
Belgium,17/09/2020,97976,2028,1058.286,9936,1,69,371,43222,2826489,27
Belgium,18/09/2020,99649,1673,1158.857,9937,1,78,392,41428,2867917,25.6
Belgium,19/09/2020,100748,1099,1181.429,9944,7,78,421,26392,2894309,25
Belgium,20/09/2020,102295,1547,1262.857,9948,4,77,432,21874,2916183,24.4
Belgium,21/09/2020,103392,1097,1298,9950,2,87,490,34932,2951115,23.3
Belgium,22/09/2020,105226,1834,1490.143,9955,5,94,505,45049,2996164,22.2
Belgium,23/09/2020,106887,1661,1562.714,9959,4,95,550,44434,3040598,21.3
Belgium,24/09/2020,108768,1881,1541.714,9965,6,104,602,40555,3081153,20.4
Belgium,25/09/2020,110976,2208,1618.143,9969,4,109,620,37845,3118998,19.6
Belgium,26/09/2020,112803,1827,1722.143,9974,5,120,626,33439,3152437,19.2
Belgium,27/09/2020,114179,1376,1697.714,9980,6,135,654,20395,3172832,18.9
Belgium,28/09/2020,115353,1174,1708.714,9987,7,140,708,28557,3201389,18.2
Belgium,29/09/2020,117115,1762,1698.429,10001,14,150,716,48302,3249691,17.2
Belgium,30/09/2020,118452,1337,1652.143,10016,15,157,739,46694,3296385,16.4
Belgium,01/10/2020,121059,2607,1755.857,10023,7,156,771,41752,3338137,14.9
Belgium,02/10/2020,124234,3175,1894,10037,14,163,789,41778,3379915,13.9
Belgium,03/10/2020,127623,3389,2117.143,10044,7,185,819,34240,3414155,13.2
Belgium,04/10/2020,130235,2612,2293.714,10064,20,186,866,17961,3432116,12.7
Belgium,05/10/2020,132203,1968,2407.143,10078,14,195,937,27391,3459507,12.2
Belgium,06/10/2020,134291,2088,2453.714,10092,14,189,952,45882,3505389,11.2
Belgium,07/10/2020,137868,3577,2773.714,10108,16,201,1050,54459,3559848,10.2
Belgium,08/10/2020,143596,5728,3219.571,10126,18,213,1110,50165,3610013,9.7
Belgium,09/10/2020,148981,5385,3535.286,10151,25,214,1191,53750,3663763,9.1
Belgium,10/10/2020,156931,7950,4186.857,10175,24,228,1260,47596,3711359,8.6
