iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,total_vaccinations_per_hundred,new_vaccinations_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
CHN,Asia,China,23/01/2020,643,95,,18,1,,0.447,0.066,,0.013,0.001,,3.13,,,,,,,,,,,,,,,,,,,,,,44.91,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,24/01/2020,920,277,,26,8,,0.639,0.192,,0.018,0.006,,3.23,,,,,,,,,,,,,,,,,,,,,,44.91,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,25/01/2020,1406,486,,42,16,,0.977,0.338,,0.029,0.011,,3.33,,,,,,,,,,,,,,,,,,,,,,47.69,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,26/01/2020,2075,669,,56,14,,1.442,0.465,,0.039,0.01,,3.36,,,,,,,,,,,,,,,,,,,,,,69.91,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,27/01/2020,2877,802,,82,26,,1.999,0.557,,0.057,0.018,,3.36,,,,,,,,,,,,,,,,,,,,,,69.91,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,28/01/2020,5509,2632,708.714,131,49,16.286,3.827,1.829,0.492,0.091,0.034,0.011,3.36,,,,,,,,,,,,,,,,,,,,,,69.91,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,29/01/2020,6087,578,791.286,133,2,16.571,4.229,0.402,0.55,0.092,0.001,0.012,3.08,,,,,,,,,,,,,,,,,,,,,,69.91,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,30/01/2020,8141,2054,1071.143,171,38,21.857,5.656,1.427,0.744,0.119,0.026,0.015,2.93,,,,,,,,,,,,,,,,,,,,,,69.91,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,31/01/2020,9802,1661,1268.857,213,42,26.714,6.81,1.154,0.882,0.148,0.029,0.019,2.76,,,,,,,,,,,,,,,,,,,,,,69.91,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
CHN,Asia,China,01/02/2020,11891,2089,1497.857,259,46,31,8.262,1.451,1.041,0.18,0.032,0.022,2.63,,,,,,,,,,,,,,,,,,,,,,77.31,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
