location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case
United Kingdom,18/08/2020,322177,1113,1090.714,41466,12,10.286,4745.853,16.395,16.067,610.818,0.177,0.152,73,1.075,948,13.965,157194,13137301,193.52,2.316,166709,2.456,0.007,152.8
United Kingdom,19/08/2020,323008,831,1061,41483,17,9.857,4758.094,12.241,15.629,611.069,0.25,0.145,70,1.031,920,13.552,181358,13317181,196.17,2.672,166964,2.459,0.006,157.4
United Kingdom,20/08/2020,324203,1195,1067.714,41489,6,8.143,4775.697,17.603,15.728,611.157,0.088,0.12,76,1.12,905,13.331,174250,13492242,198.749,2.567,168450,2.481,0.006,157.8
United Kingdom,21/08/2020,325263,1060,1010.429,41491,2,6.857,4791.312,15.614,14.884,611.186,0.029,0.101,72,1.061,884,13.022,181878,13674120,201.428,2.679,170084,2.505,0.006,168.3
United Kingdom,22/08/2020,326595,1332,1051.857,41509,18,9,4810.933,19.621,15.494,611.452,0.265,0.133,71,1.046,938,13.817,177279,13851399,204.039,2.611,169667,2.499,0.006,161.3
United Kingdom,23/08/2020,327643,1048,1042.857,41515,6,9.143,4826.37,15.438,15.362,611.54,0.088,0.135,72,1.061,865,12.742,165455,14017466,206.485,2.437,169093,2.491,0.006,162.1
United Kingdom,24/08/2020,328620,977,1079.429,41519,4,9.286,4840.762,14.392,15.901,611.599,0.059,0.137,68,1.002,871,12.83,147940,14165419,208.665,2.179,169331,2.494,0.006,156.9
United Kingdom,25/08/2020,329821,1201,1092,41535,16,9.857,4858.454,17.691,16.086,611.835,0.236,0.145,68,1.002,839,12.359,179602,14366169,211.622,2.646,175553,2.586,0.006,160.8
United Kingdom,26/08/2020,330967,1146,1137,41552,17,9.857,4875.335,16.881,16.749,612.085,0.25,0.145,64,0.943,824,12.138,206143,14573699,214.679,3.037,179503,2.644,0.006,157.9
United Kingdom,27/08/2020,332509,1542,1186.571,41564,12,10.714,4898.049,22.715,17.479,612.262,0.177,0.158,71,1.046,835,12.3,194522,14775686,217.654,2.865,183349,2.701,0.006,154.5
United Kingdom,28/08/2020,333806,1297,1220.429,41573,9,11.714,4917.155,19.106,17.978,612.394,0.133,0.173,60,0.884,813,11.976,188974,14965319,220.448,2.784,184457,2.717,0.007,151.1
United Kingdom,29/08/2020,334916,1110,1188.714,41585,12,10.857,4933.506,16.351,17.51,612.571,0.177,0.16,66,0.972,828,12.197,180033,15145352,223.1,2.652,184850,2.723,0.006,155.5
United Kingdom,30/08/2020,336668,1752,1289.286,41586,1,10.143,4959.314,25.808,18.992,612.586,0.015,0.149,68,1.002,826,12.167,181038,15326390,225.767,2.667,186989,2.754,0.007,145
United Kingdom,31/08/2020,338083,1415,1351.857,41589,3,10,4980.158,20.844,19.914,612.63,0.044,0.147,71,1.046,849,12.506,180368,15506758,228.423,2.657,191620,2.823,0.007,141.7
United Kingdom,01/09/2020,339415,1332,1370.571,41592,3,8.143,4999.779,19.621,20.189,612.674,0.044,0.12,82,1.208,857,12.624,171339,15677964,230.945,2.524,187399,2.76,0.007,136.7
United Kingdom,02/09/2020,340929,1514,1423.143,41602,10,7.143,5022.081,22.302,20.964,612.821,0.147,0.105,81,1.193,799,11.77,196734,15886354,234.015,2.898,187522,2.762,0.008,131.8
