location,date,total_cases,new_cases,log_new_cases,new_cases_smoothed,total_deaths,new_deaths,log_new_Deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,new_tests_s,,,log_new_test,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case
Belgium,04/02/2020,1,1,0,,,,,,0.086,0.086,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,05/02/2020,1,0,0,,,,,,0.086,0,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,06/02/2020,1,0,0,,,,,,0.086,0,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,07/02/2020,1,0,0,,,,,,0.086,0,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,08/02/2020,1,0,0,,,,,,0.086,0,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,09/02/2020,1,0,0,0.143,,,,0,0.086,0,0.012,,,0,,,,,,,,,,,,,,,,,,,,
Belgium,10/02/2020,1,0,0,0.143,,,,0,0.086,0,0.012,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,11/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,12/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,13/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,14/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,15/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,16/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,17/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,18/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,19/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,20/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,21/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,22/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,23/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,24/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,25/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,26/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,27/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,28/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,29/02/2020,1,0,0,0,,,,0,0.086,0,0,,,0,,,,,,,,,,0,,,,,,,,,,
Belgium,01/03/2020,2,1,0,0.143,,,,0,0.173,0.086,0.012,,,0,,,,,,,,,82,11.71428571,,,1.068715812,82,0.007,0.007,,,,
Belgium,02/03/2020,8,6,0.77815125,1,,,,0,0.69,0.518,0.086,,,0,,,,,,,,,317,57,,,1.755874856,399,0.034,0.027,,,,
Belgium,03/03/2020,13,5,0.698970004,1.714,,,,0,1.122,0.431,0.148,,,0,,,,,,,,,538,133.8571429,,,2.126641551,937,0.081,0.046,,,,
Belgium,04/03/2020,23,10,1,3.143,,,,0,1.985,0.863,0.271,,,0,,,,,,,,,701,234,,,2.369215857,1638,0.141,0.06,,,,
Belgium,05/03/2020,50,27,1.431363764,7,,,,0,4.314,2.33,0.604,,,0,,,,,,,,,773,344.4285714,,,2.53709917,2411,0.208,0.067,,,,
Belgium,06/03/2020,109,59,1.770852012,15.429,,,,0,9.405,5.091,1.331,,,0,,,,,,,,,1119,504.2857143,,,2.702676665,3530,0.305,0.097,,,,
Belgium,07/03/2020,169,60,1.77815125,24,,,,0,14.582,5.177,2.071,,,0,,,,,,,,,475,572.1428571,,,2.75750448,4005,0.346,0.041,,,0.062,16.1
Belgium,08/03/2020,200,31,1.491361694,28.286,,,,0,17.257,2.675,2.441,,,0,,,,,,,,,483,629.4285714,,,2.798946453,4488,0.387,0.042,629,0.054,0.068,14.7
Belgium,09/03/2020,239,39,1.591064607,33,,,,0,20.622,3.365,2.847,,,0,,,,,,,,,610,671.2857143,,,2.826907405,5098,0.44,0.053,671,0.058,0.069,14.5
Belgium,10/03/2020,267,28,1.447158031,36.286,,,,0,23.038,2.416,3.131,,,0,,,,,,,,,804,709.2857143,,,2.850821213,5902,0.509,0.069,709,0.061,0.073,13.7
Belgium,11/03/2020,314,47,1.672097858,41.571,3,3,0.477121255,0.429,27.093,4.055,3.587,0.259,0.259,0.037,,,,,,,,,1108,767.4285714,,,2.885037964,7010,0.605,0.096,767,0.066,0.079,12.7
Belgium,12/03/2020,314,0,#NUM!,37.714,3,0,0,0.429,27.093,0,3.254,0.259,0,0.037,,,,,,,,,1438,862.4285714,,,2.935723136,8448,0.729,0.124,862,0.074,0.084,11.9
Belgium,13/03/2020,559,245,2.389166084,64.286,3,0,0,0.429,48.233,21.14,5.547,0.259,0,0.037,,,,,,,,,2524,1063.142857,,,3.026591626,10972,0.947,0.218,1063,0.092,0.09,11.1
Belgium,14/03/2020,689,130,2.113943352,74.286,4,1,0,0.571,59.45,11.217,6.41,0.345,0.086,0.049,,,,,,,,,2171,1305.428571,,,3.115753114,13143,1.134,0.187,1305,0.113,0.089,11.2
Belgium,15/03/2020,886,197,2.294466226,98,4,0,0,0.571,76.448,16.998,8.456,0.345,0,0.049,54,4.659,266,22.952,,,1541.84,133.036,1269,1417.714286,,,3.151588716,14412,1.244,0.109,1418,0.122,0.095,10.5
Belgium,16/03/2020,1058,172,2.235528447,117,5,1,0,0.714,91.289,14.841,10.095,0.431,0.086,0.062,79,6.816,370,31.925,,,,,1892,1600.857143,,,3.204352578,16304,1.407,0.163,1601,0.138,0.104,9.6
Belgium,17/03/2020,1243,185,2.267171728,139.429,10,5,0.698970004,1.429,107.251,15.963,12.03,0.863,0.431,0.123,100,8.628,497,42.883,,,,,2255,1808.142857,,,3.25723274,18559,1.601,0.195,1808,0.156,0.122,8.2
Belgium,18/03/2020,1486,243,2.385606274,167.429,14,4,0.602059991,1.571,128.218,20.967,14.446,1.208,0.345,0.136,131,11.303,650,56.085,,,,,2714,2037.571429,,,3.309112842,21273,1.836,0.234,2038,0.176,0.136,7.4
Belgium,19/03/2020,1795,309,2.489958479,211.571,21,7,0.84509804,2.571,154.88,26.662,18.255,1.812,0.604,0.222,165,14.237,844,72.824,,,,,3395,2317.142857,,,3.36495281,24668,2.128,0.293,2317,0.2,0.155,6.5
Belgium,20/03/2020,2257,462,2.664641976,242.571,37,16,1.204119983,4.857,194.743,39.863,20.93,3.193,1.381,0.419,228,19.673,1101,94.999,,,,,3120,2402.285714,,,3.380624659,27788,2.398,0.269,2402,0.207,0.183,5.5
