location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case
United Kingdom,2020-01-31,2,2,,,,,0.029,0.029,,,,,,,,,,,,,,,,,,,,
United Kingdom,2020-02-01,2,0,,,,,0.029,0,,,,,,,,,,,,,,,,,,,,
United Kingdom,2020-02-02,2,0,,,,,0.029,0,,,,,,,,,,,,,,,,,,,,
United Kingdom,2020-02-03,8,6,,,,,0.118,0.088,,,,,,,,,,,,,,,,,,,,
United Kingdom,2020-02-04,8,0,,,,,0.118,0,,,,,,,,,,,,,,,,,,,,
United Kingdom,2020-02-05,9,1,1.286,,,0,0.133,0.015,0.019,,,0,,,,,,,,,,,,,,,,
United Kingdom,2020-02-06,9,0,1.286,,,0,0.133,0,0.019,,,0,,,,,,,,,,,,,,,,
United Kingdom,2020-02-07,9,0,1,,,0,0.133,0,0.015,,,0,,,,,,,,,,,,,,,,
United Kingdom,2020-02-08,13,4,1.571,,,0,0.191,0.059,0.023,,,0,,,,,,,,,,,,,,,,
United Kingdom,2020-02-09,14,1,1.714,,,0,0.206,0.015,0.025,,,0,,,,,,,,,,,,,,,,
United Kingdom,2020-02-10,14,0,0.857,,,0,0.206,0,0.013,,,0,,,,,,,,,,,,,,,,
United Kingdom,2020-02-11,15,1,1,,,0,0.221,0.015,0.015,,,0,,,,,,,,,,,,,,,,
United Kingdom,2020-02-12,16,1,1,,,0,0.236,0.015,0.015,,,0,,,,,,,,,,,,,,,,
United Kingdom,2020-02-13,17,1,1.143,,,0,0.25,0.015,0.017,,,0,,,,,,,,,,,,,,,,
United Kingdom,2020-02-14,18,1,1.286,,,0,0.265,0.015,0.019,,,0,,,,,,,,,,,,,,,,
United Kingdom,2020-02-15,18,0,0.714,,,0,0.265,0,0.011,,,0,,,,,,,,,,,,,,,,
United Kingdom,2020-02-16,18,0,0.571,,,0,0.265,0,0.008,,,0,,,,,,,,,,,,,,,,
United Kingdom,2020-02-17,19,1,0.714,,,0,0.28,0.015,0.011,,,0,,,,,,,,,,,,,,,,
United Kingdom,2020-02-18,19,0,0.571,,,0,0.28,0,0.008,,,0,,,,,,,,,,,,,,,,
United Kingdom,2020-02-19,20,1,0.571,,,0,0.295,0.015,0.008,,,0,,,,,,,,,,,,,,,,
United Kingdom,2020-02-20,22,2,0.714,,,0,0.324,0.029,0.011,,,0,,,,,,,,,,,,,,,,
United Kingdom,2020-02-21,23,1,0.714,,,0,0.339,0.015,0.011,,,0,,,,,,,,,,,,,,,,
